PRODUCT,DRAW NUMBER,SEQUENCE NUMBER,DRAW DATE,NUMBER DRAWN 1,NUMBER DRAWN 2,NUMBER DRAWN 3,NUMBER DRAWN 4,NUMBER DRAWN 5,NUMBER DRAWN 6,NUMBER DRAWN 7,BONUS NUMBER
LOTTO MAX,40,36,25/06/2010,10,13,26,31,36,40,45,0
LOTTO MAX,40,37,25/06/2010,2,5,27,32,41,44,48,0
LOTTO MAX,40,38,25/06/2010,2,8,14,20,30,32,38,0
LOTTO MAX,40,39,25/06/2010,7,8,21,22,24,28,49,0
LOTTO MAX,40,40,25/06/2010,3,25,28,29,37,44,49,0
LOTTO MAX,40,41,25/06/2010,6,8,9,20,29,36,41,0
LOTTO MAX,40,42,25/06/2010,4,12,13,32,38,40,47,0
LOTTO MAX,40,43,25/06/2010,12,24,30,34,38,40,43,0
LOTTO MAX,40,44,25/06/2010,3,8,12,17,22,29,34,0
LOTTO MAX,40,45,25/06/2010,7,13,17,18,27,33,44,0
LOTTO MAX,40,46,25/06/2010,11,29,31,41,43,45,46,0
LOTTO MAX,40,47,25/06/2010,7,9,11,15,21,32,38,0
LOTTO MAX,40,48,25/06/2010,5,6,13,29,33,36,44,0
LOTTO MAX,40,49,25/06/2010,4,5,9,14,15,21,38,0
LOTTO MAX,41,0,02/07/2010,9,19,25,26,29,30,44,33
LOTTO MAX,42,0,09/07/2010,9,10,19,24,28,30,31,46
LOTTO MAX,43,0,16/07/2010,10,14,26,34,43,47,48,28
LOTTO MAX,43,1,16/07/2010,1,10,12,13,14,26,33,0
LOTTO MAX,43,2,16/07/2010,2,12,14,16,28,44,48,0
LOTTO MAX,43,3,16/07/2010,1,3,13,28,29,42,45,0
LOTTO MAX,43,4,16/07/2010,4,18,19,24,29,34,42,0
LOTTO MAX,43,5,16/07/2010,1,6,7,19,21,28,43,0
LOTTO MAX,43,6,16/07/2010,4,12,27,30,32,35,47,0
LOTTO MAX,43,7,16/07/2010,10,21,22,28,33,34,36,0
LOTTO MAX,43,8,16/07/2010,1,3,5,6,26,35,39,0
LOTTO MAX,43,9,16/07/2010,1,3,4,19,25,35,46,0
LOTTO MAX,43,10,16/07/2010,2,3,6,32,41,42,48,0
LOTTO MAX,43,11,16/07/2010,14,27,31,37,39,44,46,0
LOTTO MAX,43,12,16/07/2010,7,16,24,26,30,34,40,0
LOTTO MAX,43,13,16/07/2010,14,15,16,20,30,46,47,0
LOTTO MAX,44,0,23/07/2010,17,19,26,29,34,35,38,47
LOTTO MAX,44,1,23/07/2010,13,17,19,21,23,31,33,0
LOTTO MAX,44,2,23/07/2010,12,14,18,19,27,29,36,0
LOTTO MAX,44,3,23/07/2010,6,14,23,29,39,44,49,0
LOTTO MAX,44,4,23/07/2010,4,16,36,37,43,48,49,0
LOTTO MAX,44,5,23/07/2010,7,9,18,20,27,42,43,0
LOTTO MAX,44,6,23/07/2010,18,21,27,31,35,38,44,0
LOTTO MAX,44,7,23/07/2010,3,12,17,30,35,44,46,0
LOTTO MAX,44,8,23/07/2010,1,7,12,16,17,31,49,0
LOTTO MAX,44,9,23/07/2010,2,5,8,14,20,32,49,0
LOTTO MAX,44,10,23/07/2010,4,5,6,23,24,31,45,0
LOTTO MAX,44,11,23/07/2010,6,10,21,29,32,35,47,0
LOTTO MAX,44,12,23/07/2010,9,11,19,28,29,39,47,0
LOTTO MAX,44,13,23/07/2010,8,20,24,27,31,44,46,0
LOTTO MAX,44,14,23/07/2010,3,17,28,35,37,40,46,0
LOTTO MAX,44,15,23/07/2010,6,16,20,24,40,47,48,0
LOTTO MAX,44,16,23/07/2010,8,11,17,23,26,35,36,0
LOTTO MAX,44,17,23/07/2010,4,9,14,20,32,33,38,0
LOTTO MAX,44,18,23/07/2010,6,8,18,23,31,41,42,0
LOTTO MAX,44,19,23/07/2010,5,7,24,31,39,48,49,0
LOTTO MAX,44,20,23/07/2010,20,21,27,31,32,35,44,0
LOTTO MAX,44,21,23/07/2010,2,8,15,31,41,44,46,0
LOTTO MAX,44,22,23/07/2010,11,16,35,37,39,43,46,0
LOTTO MAX,44,23,23/07/2010,6,10,21,22,23,26,45,0
LOTTO MAX,44,24,23/07/2010,4,16,23,31,35,47,48,0
LOTTO MAX,44,25,23/07/2010,2,13,19,22,25,35,38,0
LOTTO MAX,44,26,23/07/2010,6,9,23,24,26,39,49,0
LOTTO MAX,45,0,30/07/2010,5,7,11,40,41,47,48,6
LOTTO MAX,45,1,30/07/2010,10,11,20,36,39,44,49,0
LOTTO MAX,45,2,30/07/2010,1,2,16,27,34,37,46,0
LOTTO MAX,45,3,30/07/2010,8,13,23,28,31,40,47,0
LOTTO MAX,45,4,30/07/2010,3,20,21,30,32,48,49,0
LOTTO MAX,45,5,30/07/2010,13,14,32,34,39,46,47,0
LOTTO MAX,45,6,30/07/2010,13,16,21,22,36,38,43,0
LOTTO MAX,45,7,30/07/2010,15,16,21,27,39,43,46,0
LOTTO MAX,45,8,30/07/2010,5,12,26,29,34,41,49,0
LOTTO MAX,45,9,30/07/2010,8,9,26,27,31,32,47,0
LOTTO MAX,45,10,30/07/2010,12,20,21,23,26,28,41,0
LOTTO MAX,45,11,30/07/2010,4,7,8,9,15,19,23,0
LOTTO MAX,45,12,30/07/2010,10,14,28,32,39,44,45,0
LOTTO MAX,45,13,30/07/2010,4,25,27,30,41,42,48,0
LOTTO MAX,45,14,30/07/2010,9,16,20,35,38,39,47,0
LOTTO MAX,45,15,30/07/2010,10,12,14,26,38,40,48,0
LOTTO MAX,45,16,30/07/2010,9,10,20,26,37,43,49,0
LOTTO MAX,45,17,30/07/2010,3,8,19,21,25,31,48,0
LOTTO MAX,45,18,30/07/2010,1,3,4,24,32,33,37,0
LOTTO MAX,45,19,30/07/2010,13,16,20,25,34,42,45,0
LOTTO MAX,45,20,30/07/2010,8,30,32,35,36,42,45,0
LOTTO MAX,45,21,30/07/2010,1,5,11,16,27,42,47,0
LOTTO MAX,45,22,30/07/2010,2,21,22,25,27,35,37,0
LOTTO MAX,45,23,30/07/2010,19,22,25,27,28,40,47,0
LOTTO MAX,45,24,30/07/2010,12,16,20,22,26,28,29,0
LOTTO MAX,45,25,30/07/2010,3,7,8,9,43,45,49,0
LOTTO MAX,45,26,30/07/2010,16,26,29,39,41,44,46,0
LOTTO MAX,45,27,30/07/2010,6,21,22,25,36,37,47,0
LOTTO MAX,45,28,30/07/2010,20,23,24,31,36,40,46,0
LOTTO MAX,46,0,06/08/2010,1,5,6,32,36,38,44,29
LOTTO MAX,46,1,06/08/2010,7,13,21,25,28,31,47,0
LOTTO MAX,46,2,06/08/2010,2,4,12,27,29,30,36,0
LOTTO MAX,46,3,06/08/2010,8,16,38,39,40,43,49,0
LOTTO MAX,46,4,06/08/2010,6,12,15,21,23,42,48,0
LOTTO MAX,46,5,06/08/2010,3,11,21,32,38,41,49,0
LOTTO MAX,46,6,06/08/2010,15,23,33,35,37,42,45,0
LOTTO MAX,46,7,06/08/2010,3,9,14,18,26,31,49,0
LOTTO MAX,46,8,06/08/2010,4,6,10,13,24,28,44,0
LOTTO MAX,46,9,06/08/2010,7,8,17,21,26,34,44,0
LOTTO MAX,46,10,06/08/2010,4,8,9,10,12,20,34,0
LOTTO MAX,46,11,06/08/2010,6,7,10,17,24,33,45,0
LOTTO MAX,46,12,06/08/2010,6,11,17,21,32,37,39,0
LOTTO MAX,46,13,06/08/2010,8,16,21,23,35,38,44,0
LOTTO MAX,46,14,06/08/2010,3,8,21,28,32,34,48,0
LOTTO MAX,46,15,06/08/2010,9,12,16,19,21,23,45,0
LOTTO MAX,46,16,06/08/2010,3,15,16,18,19,29,35,0
LOTTO MAX,46,17,06/08/2010,1,5,10,18,27,34,45,0
LOTTO MAX,46,18,06/08/2010,1,11,16,33,42,44,49,0
LOTTO MAX,46,19,06/08/2010,4,13,25,45,46,47,48,0
LOTTO MAX,46,20,06/08/2010,9,13,18,24,28,31,44,0
LOTTO MAX,46,21,06/08/2010,6,14,27,30,36,40,49,0
LOTTO MAX,46,22,06/08/2010,3,24,34,38,40,42,48,0
LOTTO MAX,46,23,06/08/2010,9,15,21,27,36,41,49,0
LOTTO MAX,46,24,06/08/2010,15,18,23,39,40,46,48,0
LOTTO MAX,46,25,06/08/2010,6,23,26,30,34,36,41,0
LOTTO MAX,46,26,06/08/2010,1,8,11,19,20,25,28,0
LOTTO MAX,46,27,06/08/2010,6,15,16,19,21,29,42,0
LOTTO MAX,46,28,06/08/2010,16,19,35,40,42,45,48,0
LOTTO MAX,46,29,06/08/2010,8,15,22,29,31,34,48,0
LOTTO MAX,46,30,06/08/2010,9,20,23,24,34,38,44,0
LOTTO MAX,46,31,06/08/2010,5,18,29,33,41,45,49,0
LOTTO MAX,46,32,06/08/2010,1,6,9,15,31,32,40,0
LOTTO MAX,47,0,13/08/2010,19,25,27,29,30,36,46,15
LOTTO MAX,47,1,13/08/2010,2,12,15,26,27,37,44,0
LOTTO MAX,47,2,13/08/2010,1,4,10,13,17,19,33,0
LOTTO MAX,47,3,13/08/2010,2,8,19,20,26,32,47,0
LOTTO MAX,47,4,13/08/2010,1,5,10,15,21,27,42,0
LOTTO MAX,47,5,13/08/2010,1,3,6,19,20,31,39,0
LOTTO MAX,47,6,13/08/2010,1,8,14,17,32,35,47,0
LOTTO MAX,47,7,13/08/2010,2,10,16,22,25,29,38,0
LOTTO MAX,47,8,13/08/2010,6,17,18,25,26,32,40,0
LOTTO MAX,47,9,13/08/2010,19,21,29,30,35,46,49,0
LOTTO MAX,47,10,13/08/2010,7,8,13,17,23,35,45,0
LOTTO MAX,47,11,13/08/2010,4,9,15,26,27,41,43,0
LOTTO MAX,47,12,13/08/2010,7,11,14,20,21,36,38,0
LOTTO MAX,47,13,13/08/2010,7,14,18,22,29,34,48,0
LOTTO MAX,47,14,13/08/2010,3,9,10,16,23,32,36,0
LOTTO MAX,47,15,13/08/2010,3,7,12,14,22,30,33,0
LOTTO MAX,47,16,13/08/2010,7,25,26,42,44,46,47,0
LOTTO MAX,47,17,13/08/2010,12,20,25,29,32,38,49,0
LOTTO MAX,47,18,13/08/2010,7,14,28,34,37,38,42,0
LOTTO MAX,47,19,13/08/2010,5,15,16,23,29,32,44,0
LOTTO MAX,47,20,13/08/2010,10,15,17,31,32,38,39,0
LOTTO MAX,47,21,13/08/2010,4,6,10,20,26,42,45,0
LOTTO MAX,47,22,13/08/2010,3,5,8,13,14,23,29,0
